uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF
"3f5b94ca-0ebd-49ea-bee3-bc6616424293","SCBI_006.tickPlot.tck","D02","SCBI","SCBI_006","distributed","pastureHay",38.897079,-78.150277,"WGS84",20.1,277.5,0.1,,,"2018-07-09T15:59Z","SCBI.2018.28",,,"drag",168,"N",0,0,0,,"NEON.DOC.014045vJ","eashcraft@battelleecology.org",,
"23def27a-1c7a-4d95-91a5-d7789fb0ec12","SCBI_039.tickPlot.tck","D02","SCBI","SCBI_039","distributed","pastureHay",38.896433,-78.166542,"WGS84",20.1,330.8,0.1,,,"2018-07-09T16:18Z","SCBI.2018.28","SCBI_039.20180709","A00000003323","drag",155,"Y",2,4,0,"No known compromise","NEON.DOC.014045vJ","sratcliffe@battelleecology.org",,
"debabbc3-435e-4bc2-bb86-91f6a82fccad","SCBI_007.tickPlot.tck","D02","SCBI","SCBI_007","distributed","deciduousForest",38.886022,-78.129368,"WGS84",20.3,427.4,0.4,,,"2018-07-09T16:47Z","SCBI.2018.28","SCBI_007.20180709","A00000003267","drag and flag",145,"Y",1,3,0,"No known compromise","NEON.DOC.014045vJ","nroyston@battelleecology.org","West side poles missing distances estimated",
"31e7967a-2748-423e-8d46-41644221ffef","SCBI_005.tickPlot.tck","D02","SCBI","SCBI_005","distributed","deciduousForest",38.901865,-78.161944,"WGS84",20.1,261.6,0.2,,,"2018-07-09T17:13Z","SCBI.2018.28",,,"drag and flag",82,"N",0,0,0,"No known compromise","NEON.DOC.014045vJ","eashcraft@battelleecology.org",,
"94fb4127-820d-4a3a-b1c3-1f5fe0984e2f","SCBI_013.tickPlot.tck","D02","SCBI","SCBI_013","distributed","deciduousForest",38.873041,-78.163313,"WGS84",20.2,361.3,0.3,,,"2018-07-09T17:22Z","SCBI.2018.28","SCBI_013.20180709","A00000001615","drag",160,"Y",0,19,11,"No known compromise","NEON.DOC.014045vJ","Lcard@battelleecology.org",,
"43b92af7-87dd-45e7-8bd5-e553c074cffd","SCBI_002.tickPlot.tck","D02","SCBI","SCBI_002","distributed","deciduousForest",38.893863,-78.142700,"WGS84",20.3,329.0,0.4,,,"2018-07-09T18:04Z","SCBI.2018.28","SCBI_002.20180709","A00000002442","drag",160,"Y",2,10,0,"No known compromise","NEON.DOC.014045vJ","elamb@battelleecology.org",,
"76fba281-67af-425b-8ad1-9eb57d33144f","SCBI_013.tickPlot.tck","D02","SCBI","SCBI_013","distributed","deciduousForest",38.873041,-78.163313,"WGS84",20.2,361.3,0.3,,,"2018-07-30T12:45Z","SCBI.2018.31","SCBI_013.20180730","A00000001365","drag and flag",165,"Y",1,5,3,"No known compromise","NEON.DOC.014045vJ","sratcliffe@battelleecology.org","site-year possibly subsampled in ID lab counts","field larva count higher than ID lab (PDE >25%)"
"9eb4b704-eb2f-4efb-8515-bb4ab0561772","SCBI_006.tickPlot.tck","D02","SCBI","SCBI_006","distributed","pastureHay",38.897079,-78.150277,"WGS84",20.1,277.5,0.1,,,"2018-07-30T14:26Z","SCBI.2018.31","SCBI_006.20180730","A00000003123","drag",155,"Y",0,2,1,"No known compromise","NEON.DOC.014045vJ","nroyston@battelleecology.org",,
"9c421dbe-0a2c-4967-9ce8-64ba9ca1d96a","SCBI_007.tickPlot.tck","D02","SCBI","SCBI_007","distributed","deciduousForest",38.886022,-78.129368,"WGS84",20.3,427.4,0.4,,,"2018-07-30T14:51Z","SCBI.2018.31","SCBI_007.20180730","A00000003076","drag and flag",112,"Y",0,7,0,"No known compromise","NEON.DOC.014045vJ","eashcraft@battelleecology.org",,
"fb92371a-bd16-423a-b2b1-6c208ae8400d","SCBI_039.tickPlot.tck","D02","SCBI","SCBI_039","distributed","pastureHay",38.896433,-78.166542,"WGS84",20.1,330.8,0.1,,,"2018-07-30T15:03Z","SCBI.2018.31","SCBI_039.20180730","A00000003124","drag",160,"Y",1,2,0,"No known compromise","NEON.DOC.014045vJ","jcrosier@battelleecology.org",,
