uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF
"b7dbf4a7-ef75-4b79-8ab9-1ca45b42a965","SERC_023.tickPlot.tck","D02","SERC","SERC_023","distributed","cultivatedCrops",38.873978,-76.535923,"WGS84",20.1,6.9,0.1,,,"2016-10-05T17:28Z","SERC.2016.40",,,"drag",163,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","sspillman@field-ops.org",,
"84e3a1ec-ed8a-4ffb-81d9-72f075aac10c","SERC_002.tickPlot.tck","D02","SERC","SERC_002","distributed","deciduousForest",38.896257,-76.558180,"WGS84",20.1,17.3,0.1,,,"2016-10-05T17:35Z","SERC.2016.40","SERC_002.20161005",,"drag and flag",160,"Y",0,1,300,"No known compromise","NEON.DOC.014045vG","lcard@neoninc.org","Needed larval processing",
"63abdb9d-a8ea-4845-a0fc-854a81bbfff1","SERC_001.tickPlot.tck","D02","SERC","SERC_001","distributed","deciduousForest",38.868184,-76.535301,"WGS84",20.2,2.5,0.2,,,"2016-10-05T18:04Z","SERC.2016.40","SERC_001.20161005",,"drag",161,"Y",0,0,8,"No known compromise","NEON.DOC.014045vG","mstrickland@field-ops.org","Needed larval processing",
"b76a741f-52ef-4def-ac0a-cf28541b42b7","SERC_012.tickPlot.tck","D02","SERC","SERC_012","distributed","deciduousForest",38.880016,-76.561641,"WGS84",20.1,19.3,0.1,,,"2016-10-05T18:52Z","SERC.2016.40","SERC_012.20161005",,"drag",160,"Y",0,0,28,"No known compromise","NEON.DOC.014045vG","hmiller@field-ops.org","Needed larval processing",
"bb15d86c-1e6a-4291-bba6-f89898fbcadd","SERC_002.tickPlot.tck","D02","SERC","SERC_002","distributed","deciduousForest",38.896257,-76.558180,"WGS84",20.1,17.3,0.1,,,"2016-10-17T15:23Z","SERC.2016.42","SERC_002.20161017",,"drag",164,"Y",0,3,21,"No known compromise","NEON.DOC.014045vG","csandbach@field-ops.org",,
"e3837f13-5fb0-4ecc-9c7e-899b90fda9af","SERC_006.tickPlot.tck","D02","SERC","SERC_006","distributed","deciduousForest",38.880025,-76.548383,"WGS84",20.3,3.0,0.5,,,"2016-10-17T16:45Z","SERC.2016.42","SERC_006.20161017",,"drag",160,"Y",0,1,1,"No known compromise","NEON.DOC.014045vG","csandbach@field-ops.org",,
"368c8430-47e5-468d-82a9-502403428f87","SERC_005.tickPlot.tck","D02","SERC","SERC_005","distributed","deciduousForest",38.894058,-76.546297,"WGS84",20.2,4.9,0.2,,,"2016-10-17T17:36Z","SERC.2016.42","SERC_005.20161017",,"drag",152,"Y",1,1,2,"No known compromise","NEON.DOC.014045vG","csandbach@field-ops.org",,
"3f4b22d3-91ff-4e18-a54d-2d04270fe4a2","SERC_001.tickPlot.tck","D02","SERC","SERC_001","distributed","deciduousForest",38.868184,-76.535301,"WGS84",20.2,2.5,0.2,,,"2016-10-17T18:40Z","SERC.2016.42","SERC_001.20161017",,"drag",160,"Y",0,1,1,"No known compromise","NEON.DOC.014045vG","mstrickland@field-ops.org",,
"4a7fa129-46de-4a05-bb09-1d4054bb1b6e","SERC_023.tickPlot.tck","D02","SERC","SERC_023","distributed","cultivatedCrops",38.873978,-76.535923,"WGS84",20.1,6.9,0.1,,,"2016-10-17T19:14Z","SERC.2016.42",,,"drag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","mstrickland@field-ops.org",,
"8b2d5128-fbb1-4948-b4fd-a2b54faaafb5","SERC_012.tickPlot.tck","D02","SERC","SERC_012","distributed","deciduousForest",38.880016,-76.561641,"WGS84",20.1,19.3,0.1,,,"2016-10-17T19:44Z","SERC.2016.42","SERC_012.20161017",,"drag",160,"Y",0,0,1,"No known compromise","NEON.DOC.014045vG","mstrickland@field-ops.org",,
